No.,캠퍼스,과목명,개설학과,대표강사,강의실 / 강의시간
1,서울,컴퓨터공학특강II,대학원컴퓨터공학과,김대원,"208관(제2공학관) 529호 <대학원 세미나실> 금10,11,12"
2,서울,컴퓨터공학특강III,대학원컴퓨터공학과,손용석,"208관(제2공학관) 529호 <대학원 세미나실> 수1,2,3"
3,서울,컴퓨터공학특강V,대학원컴퓨터공학과,김무철,"208관(제2공학관) 529호 <대학원 세미나실> 월10,11,12"
4,서울,컴퓨터공학특강VI,대학원컴퓨터공학과,정재은,"208관(제2공학관) 529호 <대학원 세미나실> 월1,2,3"
5,서울,컴퓨터구조,창의ICT공과대학전자전기공학부,김준성,"310관 616호 <강의실> / 723호 <강의실> 목6 / 화5,6"
6,서울,컴퓨터그래픽스,소프트웨어대학소프트웨어학부,윤경현,"208관(제2공학관) 415호 <데이터사이언스&딥러닝실험실> / 310관 421호 <강의실> 목3 / 화3,4"
7,서울,컴퓨터시스템및어셈블리언어,소프트웨어대학소프트웨어학부,최광남,"310관 620호 <강의실> 화7,8,9"
8,서울,컴퓨터시스템및어셈블리언어,소프트웨어대학소프트웨어학부,최광남,"208관(제2공학관) 213호  목7,8,9"
9,서울,컴퓨터알고리즘,대학원전자전기공학과,송오영,"207관(봅스트홀) 722호 <대학원세미나실> 월7,8,9"
10,서울,컴퓨터응용,공과대학기계공학부,김동규,"207관(봅스트홀) 202호 <기계공학부컴퓨터실> 목9,10,11,12"
11,서울,컴퓨터응용,공과대학기계공학부,김동규,"207관(봅스트홀) 202호 <기계공학부컴퓨터실> 금5,6,7,8"
12,서울,컴퓨터응용,공과대학기계공학부,이기욱,"207관(봅스트홀) 202호 <기계공학부컴퓨터실> 금1,2,3,4"
13,서울,컴퓨터응용,공과대학기계공학부,이기욱,"207관(봅스트홀) 202호 <기계공학부컴퓨터실> 화1,2 / 목1,2"
14,서울,컴퓨터콜로키엄I,대학원컴퓨터공학과,권영빈,"208관(제2공학관) 529호 <대학원 세미나실> 수7,8,9"
15,서울,컴퓨터프로그래밍,공과대학에너지시스템 공학부,양승화,"207관(봅스트홀) 205호 <에너지시스템공학부 컴퓨터실> 월9,10,11"
16,서울,컴퓨터프로그래밍,공과대학에너지시스템 공학부,정동욱,"207관(봅스트홀) 205호 <에너지시스템공학부 컴퓨터실> 금7,8,9"
17,서울,컴퓨터프로그래밍,공과대학에너지시스템 공학부,김원희,"207관(봅스트홀) 205호 <에너지시스템공학부 컴퓨터실> 목7,8,9"
18,서울,컴퓨터프로그래밍및인공지능응용,대학원스마트시티학과,김무철,"302관 303호 (토1,2,3)"
19,서울,컴퓨터하드웨어특론,대학원전자전기공학과,김준성,"207관(봅스트홀) 720호 <대학원세미나실1> 월2,3,4"
20,안성,컴퓨터기초디자인,예술대학디자인학부,김효진,"801관(중앙문화관) 232호 <정보실습실B> 월5,6,7"
21,안성,컴퓨터기초디자인,예술대학디자인학부,차성욱,"801관(중앙문화관) 233호 <정보 실습실 C> 월5,6,7"
22,안성,컴퓨터기초디자인,예술대학디자인학부,김효진,"801관(중앙문화관) 231호 <정보실습실(A)> 목5,6,7"
23,안성,컴퓨터기초디자인,예술대학디자인학부,차성욱,"801관(중앙문화관) 233호 <정보 실습실 C> 월1,2,3"
24,안성,컴퓨터음악 (1),예술대학글로벌예술학부,김은국,"805관,806관(공연영상관,공연영상관증축) 201호 <컴퓨터실> 금2,3,4"
25,안성,컴퓨터음악(1),예술대학음악학부,이상호,"606관(제2음악관) 103-4호 <컴퓨터 전자음악실> 화3,4"
26,안성,컴퓨터회화,예술대학미술학부,최윤석,"801관(중앙문화관) 232호 <정보실습실B> 금1,2"
27,안성,컴퓨터회화,예술대학미술학부,최윤석,"801관(중앙문화관) 232호 <정보실습실B> 금3,4"
